"model","term","estimate","se","z","p_value","time_ratio","conf_low","conf_high","effect_metric","term_label"
"GeneralizedGamma","genderMale",0.0512241548115169,0.0420809589965902,1.21727631767298,0.223499101678361,1.05255880296216,0.969228848878598,1.14305309316263,"time_ratio","Gender: Male vs Female"
"GeneralizedGamma","age",-0.000600192225835146,0.00218299471948051,-0.27493984317927,0.783362455841199,0.99939998785349,0.995133020438674,1.00368525132576,"time_ratio","Age (per unit)"
"GeneralizedGamma","senior_citizenYes",-0.0657366862947476,0.081418394928112,-0.807393542365819,0.419439786211728,0.936377392833844,0.798263336500817,1.09838768952332,"time_ratio","Senior Citizen: Yes vs No"
"GeneralizedGamma","marriedYes",0.200182696017528,0.132850234690108,1.50682982596517,0.131854282361227,1.22162592396501,0.941572655448883,1.58497582684356,"time_ratio","Married: Yes vs No"
"GeneralizedGamma","dependentsYes",0.683720437992749,0.173732272607458,3.93548318761472,8.30294768814249e-05,1.98123509976682,1.40945793002704,2.78496607591029,"time_ratio","Dependents: Yes vs No"
"GeneralizedGamma","number_of_dependents",-0.14947202242045,0.0731901515869864,-2.04224228505392,0.0411275039453334,0.861162530925883,0.746078303707862,0.993998754534293,"time_ratio","Number of Dependents (per unit)"
"GeneralizedGamma","referred_a_friendYes",-0.208771017386633,0.140559833001933,-1.48528219568788,0.137469086203447,0.811581052318524,0.61614787337894,1.06900280426247,"time_ratio","Referred a Friend: Yes vs No"
"GeneralizedGamma","number_of_referrals",0.176725576391588,0.0214921099065483,8.22281186723983,1.98786534820186e-16,1.19330357751651,1.14408025214635,1.24464470516143,"time_ratio","Number of Referrals (per unit)"
"GeneralizedGamma","offerOffer A",0.247435447319549,0.147570796237067,1.67672367181684,0.0935965294431469,1.28073668472927,0.959058396048933,1.71030925996672,"time_ratio","Offer: Offer A vs None"
"GeneralizedGamma","offerOffer B",0.795194296119222,0.09166643071411,8.6748691961104,4.14026095450705e-18,2.21487129589737,1.85063364622504,2.65079739979694,"time_ratio","Offer: Offer B vs None"
"GeneralizedGamma","offerOffer C",0.668590444360888,0.0990337207995269,6.75113929844471,1.46688677343749e-11,1.95148465487401,1.60718524127107,2.3695416436234,"time_ratio","Offer: Offer C vs None"
"GeneralizedGamma","offerOffer D",0.378321905746721,0.0818873815949362,4.62002690009221,3.83690294430762e-06,1.45983279581378,1.24336652186535,1.71398517995829,"time_ratio","Offer: Offer D vs None"
"GeneralizedGamma","offerOffer E",-1.28467414730862,0.0595481463357664,-21.5737050833605,3.1723903056934e-103,0.276740745658194,0.246254798179538,0.311000804344192,"time_ratio","Offer: Offer E vs None"
"GeneralizedGamma","phone_serviceYes",-0.291554899371086,0.0861861366177318,-3.38285147487516,0.000717374175294368,0.747100997102212,0.630980874237581,0.884590837314282,"time_ratio","Phone Service: Yes vs No"
"GeneralizedGamma","avg_monthly_long_distance_charges",0.00136487495930741,0.00154280370770172,0.884671816961493,0.376333660235621,1.00136580682505,0.998342355105685,1.00439841498283,"time_ratio","Avg Monthly Long Distance Charges (per unit)"
"GeneralizedGamma","multiple_linesYes",0.40431810232406,0.0485465565011343,8.32846099629359,8.19000442171821e-17,1.4982804776634,1.36228965172509,1.64784661390078,"time_ratio","Multiple Lines: Yes vs No"
"GeneralizedGamma","internet_serviceYes",-0.426676965531784,0.11302824818913,-3.77495867066635,0.000160034194186031,0.65267435449089,0.522979855962813,0.814531971266575,"time_ratio","Internet Service: Yes vs No"
"GeneralizedGamma","avg_monthly_gb_download",-9.39497842077993e-05,0.00153060801916987,-0.0613806951428055,0.951056026410913,0.999906054628935,0.996910839802931,1.00291026856649,"time_ratio","Avg Monthly Gb Download (per unit)"
"GeneralizedGamma","online_securityYes",0.792850564598505,0.060446669159,13.1165302510379,2.64783075878191e-39,2.20968631070691,1.96280602151309,2.48761902001989,"time_ratio","Online Security: Yes vs No"
"GeneralizedGamma","online_backupYes",0.387675524300955,0.0498227374260227,7.7810964296488,7.18986634973156e-15,1.47355157503131,1.33645817134416,1.62470797128905,"time_ratio","Online Backup: Yes vs No"
"GeneralizedGamma","device_protection_planYes",0.222261389717618,0.0504076325916053,4.4092804658839,1.03714635728937e-05,1.24889778424195,1.13140749658071,1.37858877566061,"time_ratio","Device Protection Plan: Yes vs No"
"GeneralizedGamma","premium_tech_supportYes",0.229859832345221,0.058556689901556,3.92542393929123,8.65771242758871e-05,1.25842360728104,1.12197297475374,1.41146891324171,"time_ratio","Premium Tech Support: Yes vs No"
"GeneralizedGamma","streaming_tvYes",0.13780214529538,0.0499453486579066,2.75905863104962,0.00579681336077232,1.14774844037889,1.04071633731179,1.26578822217289,"time_ratio","Streaming Tv: Yes vs No"
"GeneralizedGamma","streaming_moviesYes",0.334267100174501,0.0793662366261911,4.2117040492782,2.53451464147249e-05,1.39691621031273,1.19567308323518,1.63203046551367,"time_ratio","Streaming Movies: Yes vs No"
"GeneralizedGamma","streaming_musicYes",-0.195306390199847,0.0803076459779478,-2.43197752619318,0.0150166390320422,0.822582588198534,0.702781408622492,0.962805939522038,"time_ratio","Streaming Music: Yes vs No"
"GeneralizedGamma","unlimited_dataYes",-0.0852251841117919,0.0628621863329692,-1.35574642059648,0.175179864096544,0.918305473314684,0.811853747203481,1.03871534155566,"time_ratio","Unlimited Data: Yes vs No"
"GeneralizedGamma","contractOne Year",0.878833018529149,0.0743562512123827,11.8192217089986,3.10548174772146e-32,2.40808787213011,2.08151244428492,2.78590080776204,"time_ratio","Contract: One Year vs Month-to-Month"
"GeneralizedGamma","contractTwo Year",1.64339744384968,0.113194453492098,14.5183566257016,9.27062227134028e-48,5.17271369700393,4.14348124531098,6.45760543056685,"time_ratio","Contract: Two Year vs Month-to-Month"
"GeneralizedGamma","paperless_billingYes",-0.0374174614574689,0.0498254069161497,-0.750971517812951,0.45266979720571,0.963273921665259,0.873650159165038,1.06209177486693,"time_ratio","Paperless Billing: Yes vs No"
"GeneralizedGamma","payment_methodCredit Card",0.145976574393186,0.0518221979492455,2.81687346677489,0.00484936265190173,1.1571690803454,1.04540572788354,1.28088094869955,"time_ratio","Payment Method: Credit Card vs Bank Withdrawal"
"GeneralizedGamma","payment_methodMailed Check",-0.42842072620709,0.084097704315607,-5.09432129799033,3.4999278089926e-07,0.651537238335102,0.552527415135963,0.768289068213697,"time_ratio","Payment Method: Mailed Check vs Bank Withdrawal"
"GeneralizedGamma","satisfaction_score",0.775461917547624,0.0238001863061884,32.582178457401,7.3349717956526e-233,2.17159499337864,2.0726200931658,2.27529629323627,"time_ratio","Satisfaction Score (per unit)"
